source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/Users/user/Desktop/Git/CUDA/temp.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/temp.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-16_temp.cpp1.ii , compute_86 , nvcc , 290.3061 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-16_temp.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-11_temp.ptx , compute_86 , nvcc , 621.4114 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-11_temp.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-19_temp.cubin , sm_86 , nvcc , 42.1122 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-19_temp.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-8_temp.fatbin ,  , nvcc , 34.3523 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-20_temp.obj , compute_86 , nvcc , 559.3500 , ms
C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp , cl.exe (compiling) , C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-23_DS_timer.obj ,  , nvcc , 806.1152 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-20_temp.obj C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-23_DS_timer.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-26_temp_dlink.cubin , sm_86 , nvcc , 35.0917 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-26_temp_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-13_temp_dlink.fatbin ,  , nvcc , 24.6249 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-28_temp_dlink.obj ,  , nvcc , 78.0426 , ms
C:/Users/user/Desktop/Git/CUDA/temp.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-28_temp_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-20_temp.obj C:/Users/user/AppData/Local/Temp/tmpxft_00004710_00000000-23_DS_timer.obj  , C:/Users/user/Desktop/Git/CUDA/build/temp.exe ,  , nvcc , 304.1608 , ms
 , nvcc (driver) ,  , C:/Users/user/Desktop/Git/CUDA/build/temp.exe ,  , nvcc , 7.4482 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00003328_00000000-10_vec_mul.cpp4.ii ,  , nvcc , 525.9846 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-10_vec_mul.cpp4.ii ,  , nvcc , 516.4004 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-10_vec_mul.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-11_vec_mul.cudafe1.cpp , compute_86 , nvcc , 832.7717 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-16_vec_mul.cpp1.ii , compute_86 , nvcc , 527.7949 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-16_vec_mul.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-11_vec_mul.ptx , compute_86 , nvcc , 774.6011 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-11_vec_mul.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-19_vec_mul.cubin , sm_86 , nvcc , 64.8369 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-19_vec_mul.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-8_vec_mul.fatbin ,  , nvcc , 36.2308 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-20_vec_mul.obj , compute_86 , nvcc , 864.4673 , ms
C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp , cl.exe (compiling) , C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-23_DS_timer.obj ,  , nvcc , 808.3143 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-20_vec_mul.obj C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-23_DS_timer.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-26_vec_mul_dlink.cubin , sm_86 , nvcc , 52.9261 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-26_vec_mul_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-13_vec_mul_dlink.fatbin ,  , nvcc , 23.0262 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-28_vec_mul_dlink.obj ,  , nvcc , 78.3131 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-28_vec_mul_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-20_vec_mul.obj C:/Users/user/AppData/Local/Temp/tmpxft_00005af8_00000000-23_DS_timer.obj  , C:/Users/user/Desktop/Git/CUDA/build/vec_mul.exe ,  , nvcc , 247.3423 , ms
 , nvcc (driver) ,  , C:/Users/user/Desktop/Git/CUDA/build/vec_mul.exe ,  , nvcc , 7.6616 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-10_vec_mul.cpp4.ii ,  , nvcc , 501.0117 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-10_vec_mul.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-11_vec_mul.cudafe1.cpp , compute_86 , nvcc , 874.1019 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-16_vec_mul.cpp1.ii , compute_86 , nvcc , 527.1394 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-16_vec_mul.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-11_vec_mul.ptx , compute_86 , nvcc , 775.1610 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-11_vec_mul.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-19_vec_mul.cubin , sm_86 , nvcc , 38.5093 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-19_vec_mul.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-8_vec_mul.fatbin ,  , nvcc , 25.4594 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-20_vec_mul.obj , compute_86 , nvcc , 755.9864 , ms
C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp , cl.exe (compiling) , C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-23_DS_timer.obj ,  , nvcc , 820.3152 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-20_vec_mul.obj C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-23_DS_timer.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-26_vec_mul_dlink.cubin , sm_86 , nvcc , 34.6531 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-26_vec_mul_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-13_vec_mul_dlink.fatbin ,  , nvcc , 22.7287 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-28_vec_mul_dlink.obj ,  , nvcc , 74.7049 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu C:/Users/user/Desktop/Git/CUDA/common/DS_timer.cpp  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-28_vec_mul_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-20_vec_mul.obj C:/Users/user/AppData/Local/Temp/tmpxft_000042fc_00000000-23_DS_timer.obj  , C:/Users/user/Desktop/Git/CUDA/build/vec_mul.exe ,  , nvcc , 144.4338 , ms
 , nvcc (driver) ,  , C:/Users/user/Desktop/Git/CUDA/build/vec_mul.exe ,  , nvcc , 8.3960 , ms
C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/Vector/vec_mul.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00005530_00000000-10_vec_mul.cpp4.ii ,  , nvcc , 503.5343 , ms
